kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (4938442),REMEDIA PLUS z.ú.,"U Nemocnice 3066/1, Břeclav, 690 02 Břeclav 2",26276925,Domovinka Remedia,Bc. Jarmila Pěčková,"U Nemocnice 3066/1, Břeclav, 690 02 Břeclav 2",8.2.2017,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
Cílová skupina odlehčovací služby je velice rozmanitá, protože reaguje na potřeby rodiny zajistit péči po dobu jejich nepřítomnosti. Nelze specifikovat jednotlivé skupiny, nejčastěji ji tvoří senioři se zdravotním postižením.
osoby se zrakovým postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 3
Jedná se o okamžitou kapacitu.",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (5670549),RESIDENT 2000 o.p.s.,"Svobodova 106, Dačice III, 380 01 Dačice",28066782,Terénní odlehčovací služba RESIDENT 2000,Mgr. Martina Sedláčková,"Antonínská 15, Dačice II, 380 01 Dačice",1.5.2018,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
senioři",od 6 let věku,"počet klientů - 2
v daný okamžik","pondělí:
7:00 - 17:00
úterý:
7:00 - 17:00
středa:
7:00 - 17:00
čtvrtek:
7:00 - 17:00
pátek:
7:00 - 17:00
sobota:
7:00 - 17:00
neděle:
7:00 - 17:00","['778409892', 'socialni@resident2000.cz']"
odlehčovací služby,Odlehčovací služby (6969763),"Rodinná pohoda, o.s.","Morávkova 305/35, Dědice, 682 01 Vyškov 1",26999030,"Rodinná pohoda, o.s.",Mgr. Jana Kubaláková,"Morávkova 304/33, Dědice, 682 01 Vyškov 1",1.11.2012,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",bez omezení věku,"počet lůžek - 6
Jedná se o okamžitou kapacitu.",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (1059158),RUAH o.p.s.,"Tyršova 2061, Benešov, 256 01 Benešov u Prahy",24312355,RUAH o.p.s.,Mgr. Petra Grúzová,"Tyršova 2061, Benešov, 256 01 Benešov u Prahy",26.9.2012,terénní,"osoby s chronickým onemocněním
osoby s kombinovaným postižením
osoby se zdravotním postižením
senioři",bez omezení věku,"počet klientů - 5
okamžitá kapacita Prioritně určeno pro nevyléčitelně nemocné a umírající bez omezení věku, osoby pečující o nevyléčitelně nemocné a umírající.","pondělí:
8:00 - 14:00 - Čas poskytování služby se přizpůsobuje podle možností potřebám klienta.
úterý:
8:00 - 14:00 - Čas poskytování služby se přizpůsobuje podle možností potřebám klienta.
středa:
8:00 - 14:00 - Čas poskytování služby se přizpůsobuje podle možností potřebám klienta.
čtvrtek:
8:00 - 14:00 - Čas poskytování služby se přizpůsobuje podle možností potřebám klienta.
pátek:
8:00 - 14:00 - Čas poskytování služby se přizpůsobuje podle možností potřebám klienta.
sobota:
neděle:","['733 224 305', '733 741 707', 'poradna@ruah-ops.cz', 'info@ruah-ops.cz']"
odlehčovací služby,Odlehčovací služby (7175525),"Sanus Brno, z. s.","Kotlářská 902/51, Brno-střed, Veveří, 602 00 Brno 2",26537231,Sanus Brno - Bílovice nad Svitavou,Bc. Markéta Vrbecká,"Komenského 733, 664 01 Bílovice nad Svitavou",1.1.2007,pobytové,"osoby s chronickým onemocněním
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 34,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (4942432),Sdílení o.p.s.,"Masarykova 330, Telč-Podolí, 588 56 Telč",22673377,Sdíleni o.p.s.,Bc. Michaela Čeřovská,"Masarykova 330, Telč-Podolí, 588 56 Telč",9.12.2011,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 25
Terénní služba je poskytována dle potřeb uživatelů v Telči a okolních obcích v dojezdové vzdálenosti 20 km.","pondělí:
7:00 - 18:00 - Ve výjimečných případech ( s ohledem na individuální potřeby klienta) poskytujeme službu i mimo uvedené dny a časové intervaly.
úterý:
7:00 - 18:00 - Ve výjimečných případech ( s ohledem na individuální potřeby klienta) poskytujeme službu i mimo uvedené dny a časové intervaly.
středa:
7:00 - 18:00 - Ve výjimečných případech ( s ohledem na individuální potřeby klienta) poskytujeme službu i mimo uvedené dny a časové intervaly.
čtvrtek:
7:00 - 18:00 - Ve výjimečných případech ( s ohledem na individuální potřeby klienta) poskytujeme službu i mimo uvedené dny a časové intervaly.
pátek:
7:00 - 18:00 - Ve výjimečných případech ( s ohledem na individuální potřeby klienta) poskytujeme službu i mimo uvedené dny a časové intervaly.
sobota:
neděle:","['777 574 975', 'sdileni.telc@gmail.com', 'www.sdileni-telc.cz']"
odlehčovací služby,Odlehčovací služby (1418345),"Sdružení občanů Exodus, z.s.","Tovární 357/3, Plzeň 3-Jižní Předměstí, 301 00 Plzeň 1",45331081,Dům Exodus Třemošná,Jiřina Bělohradská,"U Zvonu 51, 330 11 Třemošná",1.1.2007,ambulantní,"osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se zdravotním postižením","mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)","počet klientů - 15
- okamžitá kapacita - roční kapacita je 432 klientů","pondělí:
úterý:
12:30 - 19:00
středa:
čtvrtek:
pátek:
sobota:
neděle:","['377856539', '377856539', 'konecna@exodus.cz', 'http://www.exodus.cz']"
odlehčovací služby,Odlehčovací služby (2494957),"Sdružení rodičů a přátel Střediska ""DAR"" z.ú.","Alžírská 647/1, Praha 6-Vokovice, 160 00 Praha 6",44849656,"Respitní péče"" DAR""",PhDr. Monika Janíková,"Alžírská 647/1, Praha 6-Vokovice, 160 00 Praha 6",1.2.1998,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením","děti předškolního věku (1 - 6 let)
mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
děti kojeneckého věku (do 1 roku)","počet lůžek - 8
Celkový počet uzavřených smluv je pro 20 klientů. 1x za rok týdenní pobyt pro 20 klientů.","pondělí:
úterý:
středa:
čtvrtek:
pátek:
od 16:00 - Služba je poskytována 1 víkend v měsíci podle rozpisu.
sobota:
nepřetržitě - Služba je poskytována 1 víkend v měsíci podle rozpisu.
neděle:
do 18:00 - Služba je poskytována 1 víkend v měsíci podle rozpisu.",['neuvedeny']
odlehčovací služby,Odlehčovací služby (7318632),"SENIOR Otrokovice, příspěvková organizace","K. Čapka 1615, Otrokovice, 765 02 Otrokovice 2",62180444,Odlehčovací služby SENIOR Otrokovice,"Mgr. Věra Berková, DiS.","tř. Spojenců 1840, Otrokovice, 765 02 Otrokovice 2",1.10.2009,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['576771671', '773558106', 'duskova@senior.otrokovice.cz', 'http://senior.otrokovice.cz']"
odlehčovací služby,Odlehčovací služby (3940307),"SENIOR Otrokovice, příspěvková organizace","K. Čapka 1615, Otrokovice, 765 02 Otrokovice 2",62180444,Odlehčovací služby SENIOR Otrokovice,Ing. Aranka Medková Pekárková,"K. Čapka 1615, Otrokovice, 765 02 Otrokovice 2",1.10.2009,pobytové,"osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['576771675', 'zakova@senior.otrokovice.cz', 'http://senior.otrokovice.cz']"
odlehčovací služby,Odlehčovací služby (4868271),Senior Teplice z. s.,"Lípová 2881, Teplice, 415 01 Teplice 1",26598442,Senior Teplice,Anna Blažečková,"Kpt. Jaroše 50/3, Proboštov, 417 12 Proboštov u Teplic",1.1.2007,pobytové,"osoby s chronickým duševním onemocněním
Služba je poskytována osobám s Alzheimerovou chorobou a jinými typy stařeckých demencí.
osoby s chronickým onemocněním
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 14,"pondělí:
do 12:00
úterý:
středa:
čtvrtek:
pátek:
od 16:00
sobota:
nepřetržitě
neděle:
nepřetržitě","['417531752', 'lozincakova@seniorteplice.cz', 'www.seniorteplice.cz']"
odlehčovací služby,Odlehčovací služby (6076447),"SKP - CENTRUM, o.p.s.","Jungmannova 2550, Pardubice I-Zelené Předměstí, 530 02 Pardubice 2",27534804,Domov Simeon,Mgr. Kateřina Filipová,"K Dubu 711, 533 74 Horní Jelení",23.3.2009,pobytové,"osoby se zdravotním postižením
senioři",Služba je určena osobám starším 18 let.,počet lůžek - 16,poskytuje nepřetržitě,"['466 030 617', 'simeon.info@skp-centrum.cz', 'www.skp-centrum.cz']"
odlehčovací služby,Odlehčovací služby (5306435),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"SALOME Bohumín, odlehčovací služba",Bc. Irina Tkačová,"Nerudova 1041, Nový Bohumín, 735 81 Bohumín 1",1.1.2018,ambulantní,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením",od 3 do 26 let,počet klientů - 2,"pondělí:
15:45 - 17:45 - v době prázdnin od 8 do 16 hod.
úterý:
15:45 - 17:45 - v době prázdnin od 8 do 16 hod.
středa:
15:45 - 17:45 - v době prázdnin od 8 do 16 hod.
čtvrtek:
15:45 - 17:45 - v době prázdnin od 8 do 16 hod.
pátek:
12:00 - 15:45 - v době prázdnin od 8 do 16 hod.
sobota:
8:00 - 16:00
neděle:","['733 622 330', 'salome@slezskadiakonie.cz', 'www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (4967640),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"LYDIE Český Těšín, odlehčovací služby",Jana Kadlubcová,"Třanovského 1758/10, Český Těšín, 737 01 Český Těšín 1",1.1.2018,ambulantní,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením",od 2 do 26 let,počet klientů - 3,"pondělí:
úterý:
středa:
13:00 - 18:00 - každou středu v měsíci
čtvrtek:
pátek:
sobota:
8:00 - 18:00 - první sobotu v měsíci
neděle:","['558 712 728', 'lydie@slezskadiakonie.cz', 'http://www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (4450032),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"DUHOVÝ DŮM Ostrava, odlehčovací služby",Mgr. Nikola Šimíková,"Klostermannova 1586/25, Hulváky, 709 00 Ostrava 9",14.3.2013,pobytové,"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením",od 5 roku do 65 let,počet lůžek - 6,poskytuje nepřetržitě,"['736 757 533', 'n.simikova@slezskadiakonie.cz', 'www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (6475248),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"TABITA Třinec, odlehčovací služby","Bc. Ivana Andrýsková, DiS.","Jablunkovská 241, Staré Město, 739 61 Třinec 1",1.1.2006,terénní,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",od 18 let,počet klientů - 5,poskytuje nepřetržitě,"['558 713 772', '739 525 242', 'asistence.respit@slezskadiakonie.cz', 'www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (8581693),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"TABITA Jablunkov, odlehčovací služby","Bc. Ivana Andrýsková, DiS.","Dukelská 108, 739 91 Jablunkov",16.9.2013,terénní,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",od 18 let,počet klientů - 5,poskytuje nepřetržitě,"['558 713 772', '739 525 242', 'asistence.respit@slezskadiakonie.cz', 'www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (9697726),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"TABITA Český Těšín, odlehčovací služby","Bc. Ivana Andrýsková, DiS.","Třanovského 1758/10, Český Těšín, 737 01 Český Těšín 1",17.4.2012,terénní,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",od 18 let,počet klientů - 9,poskytuje nepřetržitě,"['739 525 242', '558 713 772', 'asistence.respit@slezskadiakonie.cz', 'www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (5614569),Slezská diakonie,"Na Nivách 259/7, Český Těšín, 737 01 Český Těšín 1",65468562,"SILOE Ostrava, odlehčovací služby",Mgr. Veronika Raszková,"Rolnická 55/360, Nová Ves, 709 00 Ostrava 9",1.1.2003,pobytové,"osoby s chronickým duševním onemocněním
senioři",od 50 let,počet lůžek - 5,poskytuje nepřetržitě,"['733 142 425', 'siloe@slezskadiakonie.cz', 'www.slezskadiakonie.cz']"
odlehčovací služby,Odlehčovací služby (9321887),"SLUNCE VŠEM, zapsaný spolek","Brigádnická 2260, Turnov, 511 01 Turnov 1",26671468,Odlehčovací služby SLUNCE VŠEM,Bohuslava Charousková Adamová,"Brigádnická 2260, Turnov, 511 01 Turnov 1",1.1.2017,pobytové,"osoby s mentálním postižením
Těžce mentálně postižení s autismem a poruchami chování.","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet klientů - 2,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (3145588),"Služby sociální péče TEREZA, příspěvková organizace","Benešov u Semil 180, 512 06 Benešov u Semil",193771,"Služby sociální péče TEREZA, příspěvková organizace",Bc. Marie Vojtíšková,"Benešov u Semil 180, 512 06 Benešov u Semil",1.7.2007,pobytové,"osoby s chronickým duševním onemocněním
Služba je určena pro osoby s chronickým duševním onemocněním, které dodržují pravidla společného soužití a neohrožují svým chováním sebe ani okolí.
osoby s kombinovaným postižením
Služba je určena pro osoby s kombinovaným postižením (mentální postižení, porucha autistického spektra, smyslové vady, nemoci nervové, ortopedické), které svým chováním neohrožují sebe ani okolí.
osoby s mentálním postižením",Služba je určena pro osoby ve věku od 15 do 60 let.,"počet klientů - 2
Jedná se o maximální celkovou kapacitu pobytové formy služby.",poskytuje nepřetržitě,"['481 622 883', '481 624 625', '481 624 625', 'tereza.domov@seznam.cz', 'http://www.domovtereza.cz']"
odlehčovací služby,Odlehčovací služby (7333431),Sociální a ošetřovatelské služby Praha 8 - SOS Praha 8,"Bulovka 1462/10, Praha 8-Libeň, 180 00 Praha 8",70871213,Dům sociálních služeb SOS Praha 8,"Jana KLímová, DiS.","S. K. Neumanna 2475, Praha 8-Libeň, 182 00 Praha 82",1.11.2016,pobytové,"oběti domácího násilí
osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
osoby v krizi
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 21,poskytuje nepřetržitě,"['226 291 587', '283 842 156', 'lucie.vitkovska@sospraha8.cz', 'www.sospraha8.cz']"
odlehčovací služby,Odlehčovací služby (2446475),Sociální služby Běchovice,"Za poštovskou zahradou 557, Běchovice, 190 11 Praha 911",3387046,Centrum krátkodobé péče,"Martin Stromský, DiS.","Za poštovskou zahradou 557, Běchovice, 190 11 Praha 911",1.1.2016,pobytové,"osoby s tělesným postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 60
počet klientů = maximální roční kapacita klientů",poskytuje nepřetržitě,"['773 995 878', 'info@cssb.cz', 'www.cssb.cz']"
odlehčovací služby,Odlehčovací služby (8746674),"Sociální služby Karviná, příspěvková organizace","Sokolovská 1761/36, Nové Město, 735 06 Karviná 6",70997136,Odlehčovací služba,Mgr. Jarmila Zelková,"Závodní 1667/14, Nové Město, 735 06 Karviná 6",1.1.2016,pobytové,"osoby s chronickým onemocněním
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['596 325 128', 'sekretariat@socsluzykarvina.cz', 'www.socsluzbykarvina.cz']"
odlehčovací služby,Odlehčovací služby (7645329),Sociální služby Lanškroun,"Janáčkova 1003, Žichlínské Předměstí, 563 01 Lanškroun",75081849,Sociální služby Lanškroun - odlehčovací služby,Ing. Milan Minář,"Janáčkova 1003, Žichlínské Předměstí, 563 01 Lanškroun",1.2.2009,pobytové,senioři,Služba je určena pro klienty od dovršeného věku 60 let.,"počet lůžek - 5
Kapacita služby je 5 lůžek.",poskytuje nepřetržitě,"['465 503 001', 'reditel@soslla.cz', 'http://www.soslla.cz']"
odlehčovací služby,Odlehčovací služby (3982387),Sociální služby města Havířova,"Přemyslova 1618/12, Podlesí, 736 01 Havířov 1",60337583,Denní a pobytové služby pro seniory - Respitní péče,Martina Šotkovská,"Moskevská 1103/1f, Město, 736 01 Havířov 1",1.12.2006,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 22
Návštěvní hodiny: 14,00 - 17,00 hod.",poskytuje nepřetržitě,"['+420596411031', '+420596477300', '+420596420276', 'respit@ssmh.cz', 'http://www.ssmh.cz']"
odlehčovací služby,Odlehčovací služby (9419566),Sociální služby města Havířova,"Přemyslova 1618/12, Podlesí, 736 01 Havířov 1",60337583,Poradenské středisko pro rodinu a dítě RaD,Mgr. Renáta Vališová,"Atriová 1297/5, Město, 736 01 Havířov 1",1.12.2004,ambulantní,"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením",od 1 do 40 let,počet klientů - 8,"pondělí:
14:00 - 17:00
úterý:
15:00 - 17:00 - pouze v sudé týdny
středa:
čtvrtek:
pátek:
14:00 - 16:00 - pouze v sudé týdny
sobota:
neděle:",['neuvedeny']
odlehčovací služby,Odlehčovací služby (2759151),Sociální služby města Havlíčkova Brodu,"Reynkova 3643, Havlíčkův Brod, 580 01 Havlíčkův Brod 1",70188467,Sociální služby města Havlíčkova Brodu - odlehčovací služba,Mgr. Magdalena Kufrová,"Reynkova 3643, Havlíčkův Brod, 580 01 Havlíčkův Brod 1",1.1.2006,pobytové,"osoby s tělesným postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 5,poskytuje nepřetržitě,"['569 433 757', '569433796', 'kufrova@ssmhb.cz', 'http://www.ssmhb.cz']"
odlehčovací služby,Odlehčovací služby (5687323),"Sociální služby města Kralupy nad Vltavou, příspěvková organizace","V Luhu 1181, Kralupy nad Vltavou, 278 01 Kralupy nad Vltavou 1",71294325,"Sociální služby města Kralupy nad Vltavou, příspěvková organizace",Miroslava Beritová,"V Luhu 1181, Kralupy nad Vltavou, 278 01 Kralupy nad Vltavou 1",1.1.2016,terénní,"osoby s tělesným postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 16,"pondělí:
7:30 - 19:00
úterý:
7:30 - 19:00
středa:
7:30 - 19:00
čtvrtek:
7:30 - 19:00
pátek:
7:30 - 19:00
sobota:
neděle:","['315 704 264', 'miroslava.beritova@mestokralupy.cz', 'www.dpskralupy.cz']"
odlehčovací služby,Odlehčovací služby (4262895),"Sociální služby města Kroměříže, příspěvková organizace","Riegrovo náměstí 159/15, Kroměříž, 767 01 Kroměříž 1",71193430,Odlehčovací služby Chůvičky,Mgr. Věra Mikulová,"Karla Čapka 3333/2, Kroměříž, 767 01 Kroměříž 1",1.4.2019,terénní,"osoby s chronickým onemocněním
osoby s kombinovaným postižením
osoby se zdravotním postižením
senioři","mladší děti (9 - 10 let), starší děti (11 - 15 let), dorost (16 - 18 let), mladí dospělí (19 - 26 let), dospělí (27 - 64 let), mladší senioři (65 - 80 let), starší senioři (nad 80 let)","počet klientů - 2
06:00 - 15:00 - okamžitá kapacita 2 klienti/daný okamžik; 15:00 - 20:00 - okamžitá kapacita 1 klient/daný okamžik Územní působnost: ORP Kroměříž","pondělí:
6:00 - 20:00
úterý:
6:00 - 20:00
středa:
6:00 - 20:00
čtvrtek:
6:00 - 20:00
pátek:
6:00 - 20:00
sobota:
6:00 - 20:00
neděle:
6:00 - 20:00 - včetně svátků","['573 509 530', 'mikulova@sskm.cz']"
odlehčovací služby,Odlehčovací služby (1936483),"Sociální služby města Kroměříže, příspěvková organizace","Riegrovo náměstí 159/15, Kroměříž, 767 01 Kroměříž 1",71193430,Domov pro osoby se zdravotním postižením Barborka,Mgr. Věra Mikulová,"Karla Čapka 3333/2, Kroměříž, 767 01 Kroměříž 1",1.1.2009,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby se zdravotním postižením","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 4,poskytuje nepřetržitě,"['573509530', '573509530', 'mikulova@sskm.cz', 'www.sskm.cz']"
odlehčovací služby,Odlehčovací služby (1512935),"Sociální služby Města Milevska, příspěvková organizace","5. května 1510, Milevsko, 399 01 Milevsko 1",75000750,Sociální služby Města Milevska,Mgr. Marie Jarošová,"5. května 1510, Milevsko, 399 01 Milevsko 1",1.10.2006,pobytové,"osoby s chronickým onemocněním
senioři","mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['382522125', '382505245', 'reditelka@socsluzbymilevsko.cz', 'http://www.socsluzbymilevsko.cz']"
odlehčovací služby,Odlehčovací služby (7959235),Sociální služby města Moravská Třebová,"Svitavská 308/8, Předměstí, 571 01 Moravská Třebová 1",194263,Sociální služby města Moravská Třebová - Odlehčovací služba,Mgr. Milan Janoušek,"Komenského 297/54, Předměstí, 571 01 Moravská Třebová 1",1.5.2019,pobytové,"senioři
Zajištění péče v pobytové službě osobám se sníženou soběstačností, o které jinak pečuje rodinný příslušník nebo osoba blízká v jejich přirozeném prostředí. Doba omezena na max. 3 měsíce.",Služba je určena pro klienty od 58 let.,počet lůžek - 2,poskytuje nepřetržitě,"['461 318 252', 'janousek@mtrebova-city.cz', 'www.ddmt.cz']"
odlehčovací služby,Odlehčovací služby (2531906),"Sociální služby města Orlová, příspěvková organizace","Adamusova 1269, Lutyně, 735 14 Orlová 4",72076674,"Sociální služby města Orlová, příspěvková organizace",Mgr. Jarmila Berná,"Adamusova 1269, Lutyně, 735 14 Orlová 4",1.1.2011,pobytové,"osoby s chronickým duševním onemocněním
osoby s mentálním postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 2,poskytuje nepřetržitě,"['603 113 477', 'ssmo@ssmo.cz', 'www.ssmo.cz']"
odlehčovací služby,Odlehčovací služby (5346839),"Sociální služby Města Sušice, příspěvková organizace","nábřeží Jana Seitze 155, Sušice III, 342 01 Sušice 1",49207482,"Domov důchodců Sušice, příspěvková organizace",Bc. Jarmila Dolejšová,"nábřeží Jana Seitze 155, Sušice III, 342 01 Sušice 1",1.1.2007,pobytové,"osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 2
Odlehčovací služba je využívána dle potřeb pečujících ve spádové oblasti. Jedná se o okamžitou kapacitu.",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (7211474),"Sociální služby města Třince, příspěvková organizace","Habrová 302, Dolní Líštná, 739 61 Třinec 1",600954,Domov Sosna,Mgr. Jiřina Sikorová,"Habrová 302, Dolní Líštná, 739 61 Třinec 1",1.1.2007,pobytové,senioři,"dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 4,poskytuje nepřetržitě,"['558 993 711', '558 993 725', 'jirina.sikorova@ssmt.cz', 'www.ssmt.cz']"
odlehčovací služby,Odlehčovací služby (7444236),Sociální služby města Velké Meziříčí,"Zdenky Vorlové 2001, 594 01 Velké Meziříčí",68726732,Sociální služby města Velké Meziříčí,Mgr. Jana Jurková,"Zdenky Vorlové 2001, 594 01 Velké Meziříčí",1.1.2016,pobytové,"osoby s jiným zdravotním postižením
(např. osoby se závažným zdravotním omezením onkologického charakteru, osoby s Parkinsonovou chorobou, s onemocněním kardiovaskulárního systému atd.)
senioři",- dorost (18 let) - mladí dospělí (19 - 26 let) - dospělí (27 - 64 let) - mladší senioři (65 - 80 let) - starší senioři (nad 80 let),počet lůžek - 5,poskytuje nepřetržitě,"['603967714', 'ssm.vm@outlook.cz', 'www.ssmvm.cz']"
odlehčovací služby,Odlehčovací služby (9772333),"Sociální služby městské části Praha 12, příspěvková organizace","Olbramovická 703/9, Praha 12-Kamýk, 142 00 Praha 411",70882169,Sociálně ošetřovatelské centrum,"PaedDr., CSc. Marie Mandíková","Zárubova 971/15, Praha 12-Kamýk, 142 00 Praha 411",20.9.2000,pobytové,"osoby se zdravotním postižením
senioři",služba je poskytována klientům od 60-ti let,počet lůžek - 40,poskytuje nepřetržitě,['neuvedeny']
